trial_number,value,lr,weight_decay,hidden_size,dropout,optimizer,gamma
28,0.0093391236206918,9.144353602209844e-05,1.3682492633490456e-05,134,0.169146807088388,adamw,0.9805534328496
29,0.0898496124509764,8.263337033708373e-05,1.2626334365771884e-05,157,0.1708173215828003,adamw,0.9766477276170826
30,0.0157295595716353,0.0003352832139258,1.19187741713053e-05,133,0.2144331331571651,adamw,0.9606122477116104
31,0.0144868184594504,0.0002656809369216,3.320879185689999e-05,130,0.2172435862718433,adamw,0.967836150552859
32,0.0176743457792912,0.0003171316513114,3.394431299285158e-05,134,0.217902648571098,adamw,0.9622949085127508
33,0.0166327589921261,0.0003017558385994,3.1893938108085524e-05,133,0.2179637167274974,adamw,0.9639652392201332
34,0.0211132346092835,0.000328334263735,5.1052951430350864e-05,136,0.2206238354162689,adamw,0.9618785068316076
35,0.0224179324000677,0.0003072101216407,6.629542671438235e-05,138,0.2105449133922075,adamw,0.9632493074037002
36,0.2139850552013478,0.00031931078814,2.951476513277293e-05,174,0.146960634296433,adamw,0.962554832534538
37,0.0186715047923246,0.0003075870507897,4.267384480767887e-05,134,0.2226178625773358,adamw,0.953759878028879
38,0.0187137434150784,0.0003110703402806,5.353573934338509e-05,135,0.2173642302496463,adamw,0.9541467434568062
39,0.088811993269131,0.0004140207359151,9.1090280918829e-05,155,0.2260219913008991,adamw,0.953041802873003
40,0.13317030607637,0.0002555322807383,3.30573589000188e-05,92,0.1594419801265533,adamw,0.9462278566258358
41,0.0149310793517452,0.0005242808091427,1.960537562069226e-05,136,0.1920689134758021,adamw,0.955842232609199
42,1.0260215522444756,0.0005348266048511,2.092753369521388e-05,144,0.1111521522547925,adam,0.9666437514005924
43,0.0099274011826025,0.000256799246303,2.0339434583804232e-05,130,0.1974658824607334,adamw,0.9522527563350658
44,0.0091593552055867,0.0002266823643918,1.9481035400550843e-05,130,0.1931868136106912,adamw,0.9572496561951098
45,0.008214597944136,0.0002381941361041,2.059387255808124e-05,126,0.1879219609498049,adamw,0.9578372253736002
46,0.0097637393803956,0.00022340593447,1.986736626877303e-05,125,0.1939382620821793,adamw,0.9459631795726594
47,1.1171100592039915,8.253701709513957e-05,1.837106497650027e-05,94,0.1382051850675613,sgd,0.944900036340753
48,0.0098183094826849,0.0002250499170304,1.8816892083008176e-05,123,0.1850752375583554,adamw,0.9575816720844538
49,0.0106908820555947,0.0002055565675378,1.847513244958753e-05,123,0.1900657716165365,adamw,0.9574712973898428
0,2.1372268888528376,0.0041026039842219,1.7491331711920904e-06,231,0.3755333926674515,adam,0.970178820690659
1,1.1300721117267365,0.0093988292377475,0.0066965963866942,93,0.0154596489313665,adam,0.9691648966208088
2,1.0380454677930504,0.0002277992433667,0.0001885142899566,109,0.0592807274783163,sgd,0.9662646154257076
3,2.5693117317855854,0.0006088560317373,0.0076561339008538,253,0.1820333521068112,sgd,0.9534305291061734
